Customer ID,Recency,Frequency,Monetary
12346,326,34,77556.46
12347,2,253,5633.32
12348,75,51,2019.4
12349,19,175,4428.69
12350,310,17,334.4
12351,375,21,300.93
12352,36,103,2849.84
12353,204,24,406.76
12354,232,58,1079.4
12355,214,35,947.61
12356,23,143,6373.68
12357,33,296,18287.66
12358,2,77,3887.07
12359,58,365,8935.94
12360,52,217,4252.89
12361,287,29,511.25
12362,3,267,5356.23
12363,110,23,552.0
12364,8,85,1313.1
12365,291,22,641.38
12366,634,3,500.24
12367,4,11,168.9
12368,628,18,917.6999999999999
12369,413,93,1791.15
12370,51,202,4320.31
12371,45,167,4067.38
12372,72,52,1298.04
12373,311,51,1127.65
12374,25,83,2989.2200000000003
12375,11,17,457.5
12376,390,13,503.15
12377,315,152,3426.32
12378,130,301,5416.32
12379,82,81,1620.22
12380,22,277,9676.300000000001
12381,5,87,1845.31
12383,185,99,1850.56
12384,29,27,585.27
12385,379,65,1938.4
12386,338,18,660.8
12387,415,9,143.94
12388,16,146,3901.11
12389,403,49,1433.33
12390,80,32,549.84
12391,22,281,2773.42
12392,591,7,234.75000000000003
12393,72,107,2399.4500000000003
12394,64,27,1272.48
12395,19,254,5067.27
12396,674,65,931.43
12397,36,126,2409.9
12398,46,85,1635.6599999999999
12399,119,110,1962.3
12400,414,11,205.25
12401,303,5,84.3
12402,323,70,1256.9
12403,50,9,1019.36
12404,682,1,63.24
12405,149,54,1710.39
12406,22,166,6390.36
12407,50,77,1708.1200000000001
12408,33,159,4340.7699999999995
12409,79,264,23419.29
12410,309,40,1013.71
12411,410,22,346.9
12412,75,127,2596.93
12413,67,51,999.45
12414,217,28,952.41
12415,24,928,144458.37
12416,657,11,202.56
12417,3,371,6816.91
12418,113,102,2021.2
12419,386,25,503.01
12420,64,29,600.39
12421,16,65,1098.6
12422,96,172,5231.8
12423,1,165,2622.39
12424,163,92,3340.03
12425,78,91,1741.41
12426,195,77,1345.21
12427,22,41,1129.3
12428,26,294,7956.46
12429,9,173,7485.91
12430,43,11,256.4
12431,36,406,10857.97
12432,43,108,5059.32
12433,1,706,20581.26
12434,85,70,1103.43
12435,80,112,13925.93
12436,100,16,509.01
12437,2,564,12683.4
12438,14,98,2906.85
12439,683,72,1158.18
12440,462,32,859.2
12441,367,22,347.1
12442,3,12,172.06
12443,732,21,485.31
12444,21,177,5005.46
12445,22,24,434.98
12446,58,58,1002.3100000000001
12447,243,26,476.49
12448,44,22,449.45
12449,22,201,4835.89
12450,156,37,688.2
12451,11,511,12669.88
12452,17,22,430.57
12453,134,43,707.09
12454,56,40,16679.78
12455,73,227,5879.95
12456,44,125,3181.04
12457,66,85,2995.91
12458,71,84,1777.49
12459,605,23,454.36
12460,456,18,326.65
12461,94,35,826.88
12462,19,62,1189.59
12463,53,83,1344.78
12464,10,29,1212.05
12465,17,47,742.1899999999999
12466,682,1,56.73
12467,423,9,132.8
12468,188,150,3670.74
12469,523,76,3070.54
12470,690,23,211.95
12471,2,1138,39963.79
12472,32,911,17880.59
12473,29,168,3938.5499999999997
12474,17,710,12424.45
12475,54,61,1149.64
12476,16,516,14115.41
12477,23,564,20276.37
12478,4,36,680.99
12479,11,31,527.2
12480,28,242,5464.85
12481,23,391,12361.39
12482,576,204,23691.4
12483,17,139,5120.58
12484,33,475,6370.15
12485,529,34,708.1
12486,432,49,1037.28
12487,731,2,285.29999999999995
12488,10,55,1298.66
12489,336,15,334.93
12490,5,462,9823.64
12491,39,26,460.40000000000003
12492,63,42,715.21
12493,166,22,433.74
12494,16,111,1872.8700000000001
12495,641,17,357.4
12496,620,13,54.09
12497,82,57,6248.5
12498,21,23,403.70000000000005
12499,560,27,393.72
12500,23,146,5955.21
12501,337,149,2169.39
12502,96,147,3723.87
12503,584,2,1126.0
12504,18,20,779.05
12505,409,42,955.2
12506,233,23,73.5
12507,134,50,1844.06
12508,26,69,398.27
12509,284,7,176.5
12510,143,145,5178.02
12511,429,190,3084.02
12512,66,34,138.03
12513,113,35,612.29
12514,267,84,1597.76
12515,353,16,383.7
12516,78,74,2648.62
12517,28,284,2502.84
12518,1,124,2056.89
12519,64,40,726.54
12520,79,152,2634.26
12521,143,38,599.68
12522,39,12,192.72
12523,19,250,4372.15
12524,9,240,11126.11
12525,498,60,973.73
12526,1,71,1316.66
12527,82,32,735.51
12528,9,92,1933.48
12529,528,21,316.48
12530,60,158,3759.26
12531,15,127,1933.2
12532,30,16,349.83000000000004
12533,628,72,1367.89
12534,131,63,1089.18
12535,92,34,716.35
12536,43,261,12601.830000000002
12537,409,43,732.94
12538,29,34,640.45
12539,22,504,11214.75
12540,20,771,22254.49
12541,30,52,981.18
12542,484,39,481.88
12543,448,43,980.25
12544,36,19,372.7
12545,75,50,1000.39
12546,47,69,1161.5
12547,198,21,383.58
12548,166,5,95.19999999999999
12549,576,49,1575.68
12550,79,57,964.83
12551,358,10,168.0
12552,39,20,437.82
12553,8,238,4608.75
12554,449,26,468.5
