Feature_1,Feature_2,Cluster
-1.7389991930659485,-0.43480147996914814,4
-1.7389991930659485,1.195704069915157,2
-1.7008297638941763,-1.7159129834496736,4
-1.7008297638941763,1.0404178270690327,2
-1.6626603347224038,-0.3959799192576171,4
-1.6626603347224038,1.0015962663575015,2
-1.6244909055506316,-1.7159129834496736,4
-1.6244909055506316,1.700384359165061,2
-1.5863214763788591,-1.832377665584267,4
-1.5863214763788591,0.8463100235113773,2
-1.5863214763788591,-1.405340497757425,4
-1.5863214763788591,1.8944921627227165,2
-1.5481520472070869,-1.3665189370458939,4
-1.5481520472070869,1.0404178270690327,2
-1.5481520472070869,-1.444162058468956,4
-1.5481520472070869,1.118060948492095,2
-1.5099826180353144,-0.5900877228152724,4
-1.5099826180353144,0.6133806592421909,2
-1.4336437596917697,-0.823017087084459,4
-1.4336437596917697,1.8556706020111853,2
-1.3954743305199975,-0.5900877228152724,4
-1.3954743305199975,0.8851315842229084,2
-1.357304901348225,-1.7547345441612048,4
-1.357304901348225,0.8851315842229084,2
-1.2427966138329078,-1.405340497757425,4
-1.2427966138329078,1.234525630626688,2
-1.2427966138329078,-0.7065524049498657,4
-1.2427966138329078,0.4192728556845355,2
-1.2046271846611356,-0.7453739656613968,4
-1.2046271846611356,1.4286334341843434,2
-1.1664577554893631,-1.7935561048727358,4
-1.1664577554893631,0.8851315842229084,2
-1.0519494679740462,-1.7935561048727358,4
-1.0519494679740462,1.622741237741999,2
-1.0519494679740462,-1.405340497757425,4
-1.0519494679740462,1.195704069915157,2
-1.0137800388022737,-1.288875815622832,4
-1.0137800388022737,0.8851315842229084,2
-0.8992717512869568,-0.9394817692190521,4
-0.8992717512869568,0.9627747056459706,2
-0.8611023221151844,-0.5900877228152724,4
-0.8611023221151844,1.622741237741999,2
-0.8229328929434121,-0.5512661621037414,4
-0.8229328929434121,0.4192728556845355,0
-0.8229328929434121,-0.86183864779599,4
-0.8229328929434121,0.5745590985306598,2
-0.7847634637716397,0.18634349141534906,0
-0.7847634637716397,-0.12422899427689955,0
-0.7847634637716397,-0.31833679783455493,0
-0.7847634637716397,-0.31833679783455493,0
-0.7084246054280949,0.06987880928075582,0
-0.7084246054280949,0.38045129497300445,0
-0.6702551762563226,0.14752193070381797,0
-0.6702551762563226,0.38045129497300445,0
-0.6702551762563226,-0.20187211569996172,0
-0.6702551762563226,-0.357158358546086,0
-0.6320857470845502,-0.007764312142306325,0
-0.6320857470845502,-0.16305055498843063,0
-0.5557468887410055,0.03105724856922475,0
-0.5557468887410055,-0.16305055498843063,0
-0.5557468887410055,0.22516505212688012,0
-0.5557468887410055,0.18634349141534906,0
-0.5175774595692332,0.06987880928075582,0
-0.5175774595692332,0.34162973426147336,0
-0.4794080303974609,0.03105724856922475,0
-0.4794080303974609,0.34162973426147336,0
-0.4794080303974609,-0.007764312142306325,0
-0.4794080303974609,-0.08540743356536848,0
-0.4794080303974609,0.34162973426147336,0
-0.4794080303974609,-0.12422899427689955,0
-0.44123860122568853,0.18634349141534906,0
-0.44123860122568853,-0.31833679783455493,0
-0.4030691720539161,-0.046585872853837404,0
-0.4030691720539161,0.22516505212688012,0
-0.2503914553668267,-0.12422899427689955,0
-0.2503914553668267,0.14752193070381797,0
-0.2503914553668267,0.1087003699922869,0
-0.2503914553668267,-0.08540743356536848,0
-0.2503914553668267,0.06987880928075582,0
-0.2503914553668267,-0.31833679783455493,0
-0.2503914553668267,0.03105724856922475,0
-0.2503914553668267,0.18634349141534906,0
-0.2503914553668267,-0.357158358546086,0
-0.2503914553668267,-0.24069367641149278,0
-0.2503914553668267,0.2639866128384112,0
-0.2503914553668267,-0.16305055498843063,0
-0.13588316785150967,0.30280817354994227,0
-0.13588316785150967,0.18634349141534906,0
-0.09771373867973732,0.38045129497300445,0
-0.09771373867973732,-0.16305055498843063,0
-0.05954430950796496,0.18634349141534906,0
-0.05954430950796496,-0.357158358546086,0
-0.021374880336192604,-0.046585872853837404,0
-0.021374880336192604,-0.3959799192576171,0
-0.021374880336192604,-0.31833679783455493,0
-0.021374880336192604,0.06987880928075582,0
-0.021374880336192604,-0.12422899427689955,0
-0.021374880336192604,-0.007764312142306325,0
0.01679454883557975,-0.31833679783455493,0
0.01679454883557975,-0.046585872853837404,0
0.0549639780073521,-0.357158358546086,0
